                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.80066,                0.67418,                 1.4636,                 1.3528,                0.37921,                0.71733,                0.48215,                0.24508,                0.17321,                0.35333,                0.15626,                 0.0374,                 1.3379,                  4.079,                 2.4214,                 1.9679,             0.00084703,             0.00084703,             0.00084703
                     27,                0.83265,                0.65314,                 1.4775,                 1.3667,                0.00412,                0.27333,                0.04782,                0.01062,                      0,                      0,                      0,                      0,                 3.5901,                 12.289,                 12.325,                 4.0759,             0.00083603,             0.00083603,             0.00083603
                     28,                0.81089,                0.66992,                 1.4114,                 1.3417,                0.50528,                   0.86,                0.67018,                0.54262,                0.50528,                   0.86,                0.67018,                0.39064,                0.93247,                 1.6806,                 1.4252,                 1.5251,             0.00082503,             0.00082503,             0.00082503
                     29,                0.78314,                0.62834,                 1.3641,                 1.3058,                0.51783,                   0.84,                0.67551,                0.57297,                0.51783,                   0.84,                0.67551,                0.59209,                0.70966,                0.59566,                 1.2261,                 1.2857,             0.00081403,             0.00081403,             0.00081403
                     30,                0.75716,                0.63823,                 1.3195,                 1.2797,                0.62409,                0.90669,                 0.7175,                0.63594,                0.62409,                0.90669,                 0.7175,                0.64147,                0.56495,                0.58547,                 1.0513,                 1.2107,             0.00080303,             0.00080303,             0.00080303
                     31,                0.72336,                0.62451,                 1.2847,                 1.2645,                0.33332,                0.30667,                0.21723,                0.07203,                0.00079,                0.13333,                0.00055,                0.00015,                  2.822,                 9.1995,                 10.426,                 3.1681,             0.00079203,             0.00079203,             0.00079203
                     32,                0.72318,                0.63452,                 1.2698,                 1.2586,                0.47345,                0.09333,                0.08442,                0.03121,                      0,                      0,                      0,                      0,                 3.7825,                 13.242,                 7.1265,                 4.7262,             0.00078103,             0.00078103,             0.00078103
                     33,                0.70521,                0.63228,                 1.2972,                 1.2421,                0.40873,                0.17895,                0.20785,                0.07102,                      0,                      0,                      0,                      0,                 2.8239,                 12.894,                 12.572,                 3.6295,             0.00077003,             0.00077003,             0.00077003
                     34,                 0.6884,                0.59886,                 1.2611,                 1.2174,                  0.522,                 0.9195,                0.72001,                0.63536,                  0.522,                 0.9195,                0.72001,                0.63437,                0.50464,                0.65146,                  1.008,                 1.1782,             0.00075904,             0.00075904,             0.00075904
                     35,                0.73962,                0.66466,                 1.2655,                 1.2493,                0.59005,                   0.98,                0.76028,                0.68347,                0.59005,                   0.98,                0.76028,                0.66927,                0.53925,                0.59351,                 1.0069,                 1.1859,             0.00074804,             0.00074804,             0.00074804
                     36,                0.73478,                0.62668,                 1.2573,                 1.2545,                0.54597,                0.94094,                0.74071,                0.66193,                0.54597,                0.94094,                0.74071,                0.65687,                0.48591,                 0.6465,                  1.003,                 1.1586,             0.00073704,             0.00073704,             0.00073704
                     37,                 0.6475,                0.61577,                 1.2056,                 1.1922,                0.08094,                0.17394,                 0.0495,                0.01198,                      0,                      0,                      0,                      0,                 3.9558,                  17.36,                 12.258,                 5.1757,             0.00072604,             0.00072604,             0.00072604
                     38,                 0.6436,                 0.6044,                 1.2151,                 1.1821,                0.61836,                0.91321,                0.75172,                 0.6765,                0.61836,                0.91321,                0.75172,                0.67348,                0.50634,                0.58186,                 1.0026,                  1.142,             0.00071504,             0.00071504,             0.00071504
                     39,                0.62219,                 0.6081,                 1.1599,                 1.1643,                0.32429,                0.53416,                0.46527,                0.20589,                0.13378,                0.18512,                0.07924,                0.02675,                 1.5658,                 5.2366,                 2.3791,                 2.1296,             0.00070404,             0.00070404,             0.00070404
                     40,                 0.6418,                0.60979,                 1.1676,                 1.1641,                  0.267,                0.20524,                0.17804,                0.05903,                      0,                      0,                      0,                      0,                 3.2907,                 13.715,                 4.6773,                  3.694,             0.00069304,             0.00069304,             0.00069304
